Factorisations Of Cunningham Numbers C+(6,n) = 6^n + 1

Canonical Representation Of Factorisations

1. Factorisations are given from smallest to largest factor, with a period '.'
   separating factors.
2. Multiplicity of factors is indicated with the carat '^' in ascii tradition
   for the text version of the tables but not the HTML version.
3. The backslash '\' is used to indicate continuation of a line, the decimal
   digit representation of the number does not stop but continues on the next
   line as if no break had occured. This can sometimes make for bad breaks, but
   such is life.

Notation Used In The Tables

1. #Fac is the number of (non distinct) prime factors in an expression.
2. A plussed #Fac means that more prime factors exist but they are unknown due
   to an unfactored composite in the expression.

========================================================================================================================

   n  #Fac  Factorisation
 137     4  7.51480217.4582965162279152779295741463389.2448140495278291042529241912014354378530513227666594553134296023\
            8107
 138    12  13.37.97.277.6073.2259889.9564781.12344559539431993.14030036355387001.23027140435639321.128407494947883673.
            279219519230141641
 139     3  7.478404033683.43464123950634007416896270274528229077877085950620143478550278600897682734201302908605111172\
            4237
 140     9  41.281.337.617.1297.68754507401.81035189089.123099618068232205681.40982486632742791332750143162242392858449\
            31775661062561
 141     5  7.31.1129.534577564460822791430647883899825591.400093872648315443061680477735172345044266448557214947007104\
            507237639
 142     5  37.4485781.33571579633135513.969155837815909463425781176679854621.58220022739632174549950127401919425992936\
            844184277
 143     8  7.53.937.2861.37571.3712567.51828151.2623642616266140731907940608862422310623338001684178975972736179031671\
            72733704458773
 144    10  193.353.1697.8641.115777.4709377.31057921.688490113.6931400449.14019268835179638724593328298903017364203886\
            8198120943575131073
 145    10  7.11.59.101.32713.168491.35969851301.2727192763388813.71188611917485018014870131.38450776123542785985187808\
            85281690026242583211
 146     5  37.877.16658893.20007314401.3767439640217533991679971417792901973000703933565811241566664111171375550309696\
            7184005923301
 147    12  7^3.29.31.197.32670457.1152319183.2527867231.762332681442053.90179616936384011.6151465354203683883830062906\
            173218740292621286631
 148     4  1297.12950593.10742681826196124641.812910461537597351789277337708911744048426523234607657015392944064157118\
            19759159724497
 149     4  7.17808481.3908095969.1806534126100647194097596047551632860649143589145163864525913101120410386931607948881\
            33552030773239
 150    15  13.37.61.97.181.241.3541.6781.74161.343801.22243201.38149201.1748016735462726601.340800981614130538049401.1\
            3744019238016248925287701988601
 151     4  7.1877258342367076264555657.57719839964417489988525624247.4177260955133929558960631779921813101873322007065\
            786779841904569
 152     6  17.98801.417827633.505981859041.26836193435793601023998323852801.199492594262551677559234014856976616560844\
            8716213725436669937
 153    13  7.31.103.919.46441.147799.190537.12690943.980146969.99617785207.29274753335383.1888411753890127.61981850959\
            910422285012731307171469066599
 154     8  37.421.58477.70489.863017.5030761.40590776689.6048141008071456596259776949311257916837567558165203557375479\
            4818786652644638545909
 155     6  7.11.101.189491931189200021056951.73925704213704945236169449354196288841.3769168199699790684839649519999144\
            5129214809531978987311
 156     7  1297.192193.1678321.14090441.816213379522588431707233.8284434950526240125727017.618089408508629562797739046\
            557629942711588422796977
 157     6  7.1571.53381.259993.32577356503.297308882243938865484453677008309867648571856224118520242496051040995144993\
            90913563956124405913479
 158     3  37.10429.22985458387524760396049933956519941247062829865007890151235623482849657962098495040918310213730329\
            73033904327664158129
 159     9  7.31.107.97351567.33685364386033.71080464397105403.79850963147627239.886629624220623485114684453959.1388827\
            9563077823030315573706460911
 160     7  2753.82241.145601.19854979505843329.15954097282309262360999041.4903626466768570999224738379365121.623565458\
            885624857143366973953113921
 161     9  7^2.29.197.231841.113958101.990000731.3091531661.8463428877114283334832841135980685094133787815940779201328\
            511354558563105269202500000131
 162    13  13.37.73.97.109.541.55117.591841.171467713.932461936453.39661919912737.26411543817830547235357966561.104753\
            2535514129255363516988891792003940353
 163     7  7.11411.1712959177.52108050586547.417317792492527332337.390331841336302929436994813.59385353538185533999095\
            22760027592696327594011870339
 164     3  1297.90823862327833086800386352513067248343828857.351289460623725010305581894540945828444787270943557773540\
            836771459982767560667193
 165    15  7.11^2.31.101.463.72073.1031141.1950271.51828151.127236649.16336066781.84155540944421.661982172984001.23247\
            0996817349914740909949038496736983636813951
 166     9  37.997.778873.3020869.13852369.161184670755001.437801891817492814657.62492225855662442512009.28097049972396\
            2289858902531662958021839590057517
 167     4  7.2339.24362285875922356868655021961427.2240848611344433471047519923958679743088526810022077124471576209605\
            7091569159815413649881516047
 168    11  17.113.673.4817.5953.98801.4048129.473896897.10189440239012883075423169.3276974780364284482799810397121.228\
            576791406017659230547997507603024201377
 169     8  7.53.937.4057.37571.116720070342348721.3378307227685242623713508116989468524398534111.154008740494680898484\
            89148387594553074912242007981896423
 170    10  37.241.1021.6781.934117.8289713345361373993.372810476994982432801.2244807299700346905001.418196746744415875\
            29015061.115394656437025419824224817341
 171    10  7.31.457.1787.46441.137713.48713705333.62174327387790051073.190324492938225748951.1773086345556501045721501\
            5481519172763685683806181388676488969177
 172     7  1297.1721.1904729.5993513377.3449220534377.2400135849956129030979293221108376113.32947522230532454787172792\
            7490276948774179783794853789837408297
 173     3  7.347.17168754933680641828885328290196243178419334128667815027099365404387446550489987693378776240078242722\
            7477447336436457634084029167573
 174     9  13.37.97.349.104485957.3347320129.298589131777670304546904897.105134528469779071670501631159328247729809.13\
            995898620078159024779789479094697362727841
 175    17  7^2.11.29.101.197.631.701.2311.3851.9241.12601.585131.1305192701.66631795301.3655688315536801.5660713977589\
            80021514503314913468700952468138140520705435915823851
 176     5  353.1697.4709377.2653655703600055300471675940271611363631320368111914433.1203248936190203022591615664116879\
            4191545029882930365976044832157368897
 177     4  7.31.1163658999540220416412446482708919139658591671.2140355196559238331144625485410513513288018960171608816\
            987390371347305662078691899857664991
 178     3  37.92874768913720582900858911299754687243149941868501755733246139460861.94367640856532298427984430638051386\
            2900179721637307961334427437498481
 179     8  7.16111.3490859.317649821.2164201732799819.1890213088140761141.684015593168267521517.5560295209693432842899\
            5125419832794157001481770390335287600383493
 180    10  41.577.1297.3313.13441.1678321.68754507401.2478750186961.592575109627400042641.5041038763890442425806052840\
            72981501250037549130936744429106198676798115841
 181     8  7.1087.13757.13952929.632269201.33644936669.1032407342933.2183668889401877470795251342807832111594626152381\
            2158000579569801581127896122389639630377479533
 182     9  37.313.421.1093.2341.5030761.8955493.6291946695217.11884190856613849521822323092626049163425224374408127276\
            17705020621304105675607013522505083016934528589
 183     8  7.31.367.9151.1676281.1882477437757002169.4577830180684945360162613198286645069141001.239523531668585297595\
            7381489000500459401666829178525583973937481377
 184     7  17.98801.118593079873.364095314695155207401455201.160021185991868323844533898916209.29122545034054978745227\
            82767870577.4476499706959521340159489111133569
 185    10  7.11.101.3923.5311351.3371674951.1096762734443.2054788991719.30858852252821.2389134097720474526060308854750\
            2814115822915934711810379113523875134324412567815691
 186    12  13.37.97.373.1489.316201.532333.1680597049.1802142841.95388829922809.90894891114767542107085231220047282656\
            023221.47552767764994953232854569779888803761183529901
 187     6  7.190537.12690943.51828151.480615433.7750846525910392198390983682894786692309487364054792746281439044003943\
            2094549203369606766305138207109405812087797647
 188     5  1297.4513.4889.347984031638813867788384938483862609.1969021280399252935959226436961328815871830584555548488\
            8500456990298114726995231439576412407293568297
 189    16  7^2.29.31.127.197.46441.114967.216217.883383463.2527867231.4622286817.154260982009.528921402377887.20382300\
            13432107097.538685349820052538228734534641581280042463669988337
 190     9  37.241.6781.300961.1030762781149.21905019726901.9736145643041809.347101070179037778781.50835774997612262452\
            79082852778475930283511762970411573592601057188622021
 191     5  7.1258380199.1524539579459364377717928165817.20894274974038675363980511918504639.15094297230978809500317796\
            0207886814270806752341829724718940621711822382023
 192     7  769.272040961.4926056449.103352381953.447183309836853377.28753787197056661026689.18555767349389962839351179\
            7753712811510426567803717540350570565651721278179073
 193     6  7.773.1931.6563.964591900729.230507733805478147673282522335136097606695724359055622971603101743933147616463\
            02340751339438634609154835590025665053670339442531
 194     5  37.145501.572240484565153.4043711238187229705754319631461.7343720804747936789060214224635140491485500026705\
            19664000487092889481689990734400652683385304876957
 195    18  7.11.31.53.79.101.131.937.1951.9049.37571.50311.868999.1950271.8857759.78296791.199930782298483523040584108\
            028862541.56489911601955446662738361435182909838578217512669717991041
 196     9  281.337.617.1297.352409.171103297.81035189089.110495360641.804934703178851585869873107497065519425159092417\
            1895921257433759733264517246278747990973600806766241995497
 197     3  7.4729.5969376500116183393876336758092498782461653712633316068134686781984525984967510763529770426714669159\
            6824727683106394327994562599859137087606474012079
 198    22  13.37.73.97.397.541.3037.7129.23761.55117.58477.70489.96493.622513.863017.4629769.13705107769.16266405013.6\
            97344975757.1184960471459158549.254253859796489462713.12335988891985043955517
 199     6  7.236029523.3799311562897.31878912911333.77719140435208369.457401996852819315150728982035739739242285360426\
            3002266533924082029664173716659577557941705772126729033
 200    11  17.401.17761.98801.3696985841.121206120881.886109293550401.812610713899205201.59773386522355896001.21463170\
            766480994553601.86195404170550610979816678826926988566357088801
 201    10  7.31.269.418349.682489921447.2665157957929.90571543952974835963.1919920225888720033879.19175776064763912194\
            1197.1729033777786271873555261237205808561334014171072246874503
 202     4  37.53902351586977.19472139427564696216240566673.39566667223673460650961012831839774843984657076038026405511\
            6038461957014358460611709311172913627482394120857720381
 203    13  7^2.29^2.59.197.23549.32713.140071.41316543716813.2727192763388813.406457127805781473.389491404568074862969\
            67609878908627719031359287272396600783038762789170329868316555713469
 204     9  137.1297.5849.1678321.8715697.35540881.1536052010629489.51420576374811381403609445473.129617819354649013548\
            53808427112526544221444666053340866294089937876531415006047596753
 205    10  7.11.83.101.821.28537.2186469381475738293871.4837453663777044375040181.2191683692912452263530405964341.9467\
            309401293215009517759552451127506318714111360706666376879763445521
 206     4  37.8408219407597.2678624143952808457516330191792080322718547840887752493464690277.2389681602505384198978460\
            6497340939625976639688017753392727776672113117628170996269
 207    11  7.31.46441.113958101.990000731.4811469913.61040960263.24648570768391.816214079084081564521.2528088327924319\
            9352415750302719.703525130194638933868239585175540752922537827762121
 208     5  353.1697.4709377.209945929109939792807681119841.12104103139042794563956501119169099704191454828942579141884\
            16078115280176860056670582217975627484286790548046270405889441
 209     8  7.419.1787.51828151.87713957.48713705333.690793919157674734946282168446665910678652191468497041123.53646405\
            12780085926023384343684479342368814494378594370131249654796901539
 210    20  13.37.61.97.181.241.421.3541.6781.66361.74161.5030761.9120301.804146449.6055984789.13509594555661.213873879\
            18961.41649085891390429201.1708114263204222806519161.909797658724252287447740245321
 211     4  7.91997.52572017528450872868981647.457390859661766312641159297578038208198491112613787203251947493323002488\
            0589454211588406778370647658703137559586369530763945162886189
 212     7  1297.69693040414889.20089340310546423313.1110998112983390874377.83183051545234447336922778521.8250997451241\
            66389803400429081.6709889924072878618980529192660651333599242393089
 213     9  7.31.5113.37489.74551.11735704315681.26734056474599359.5757417485448059422914748320317168839.99522604619340\
            6554317594151906800828046972635082952237516268712828828576595818950303
 214     4  37.51141721.7254122353.243672008465643762319883827438877900935452088187931463222851587014310704360789879029\
            6603431408753147620862795161758314977755958333681472949003232837
 215     9  7.11.101.8171.1211741.21619111.9458892894402537221.412482688627178079807598675848631.3089853257937523321958\
            7506332451565165089947170020263853595743760829735559345246585657075590931
 216     8  17.3457.5953.19009.98801.473896897.22452257707354557235348829785471057921.172234998268388497973341093646671\
            310208266238951938620294263365317258240761898237041023970648281067640897
 217     8  7^2.29.197.89816745465847.189491931189200021056951.1100141411455580533471034569.137836577306235618618088687\
            2990084966561813031194174025558736405548637886812298892909462395446580457
 218     5  37.335790424559680201.2880933848374725856201.3783033369252816683960000152382576688052300376449.320132004294\
            579660572702755107475595063322850213587223023493365275211652344663709
 219    13  7.31.293.439.10513.65600137.120855443.1389436303.7426195831.467260890471943.6388551471149527279.42218834593\
            78030470824476438562257.859728301243446018851483693475731833325258488648880551033
 220    12  41.89.1297.8247361.778055521.68754507401.254055515561.20695248084558521.518060072335148988041.6560970004839\
            878965676927281.150080764792922988676714149209.278651896702502332482621071375321
 221     9  7.53.443.937.37571.190537.12690943.66728502368731644257834188952657813.100293262559755402253156237598547901\
            00424324707311282592551252093418222618307605133987351456331928643789329341009
 222    14  13.37^2.97.4441.270841.82660813.12023017393.2057604700829917.3300043400835529.63717427974558037.82968757682\
            65773901.190892407618022993841069346975403017.39729001149039435214589515044706587061
 223     8  7.10259.968713.2245233071284547.232518156972996725239.666546492524951029181.8357906552591978705863199558787\
            64574136853697743.16660359818385555664068601979347465063709118473978852096987
 224     7  449.2753.145601.14050095361.19854979505843329.4347931587984824386556915294792767725957873418590100902582977.
            9264708482721781563861409758298981141649189896479142218841050746979756302977
 225    17  7.11.31.101.151.1801.46441.168151.1950271.573178201.4468904551.5267460432151.918628247364601.36556883155368\
            01.4760317816590150361.180277202943196638580206001.312531042857117235831608290869908798713801
 226     5  37.2678668139593.74520969665581.82787563486530615710539383062016180279313.119074386357999706428628584438762\
            500487478438472041376563229456406018102239270874368774424463477149963186409
 227     5  7.71556809087935085523319.398350176141493935951217441.10185701811342407413461080555718755753916062854440555\
            32689903.2149457485828738256774266198914177962006617586141234673362470469743
 228     9  1297.4561.1678321.8502577.355518408146401.5028187486478069273.13038313680704041577.704672974343013154961885\
            95297.18905006901231039109103138685973480121103102539516200468164369157156631568769
 229     3  7.24692063988803.909873264645765650026733674004591514299421810318070493364416541395205419034830039822320121\
            40027224084812336588791796744796648118552465651764021577215214198323288957
 230    10  37.241.6073.6781.489901.2259889.9564781.128407494947883673.952810026015009206128296414875275806294616159019\
            41.1983374107379636516875110447923040784173516592282622542818849834471364554705839701
 231    13  7^2.29.31.197.463.72073.51828151.127236649.2527867231.944005034375463727755464073082424887.5701908713415125\
            4061666621717728669167279862151.2178895898164385844367980970732378272708219198177692576473
 232     4  17.98801.324022971925566874177785587856089835544193115261789544399681.6241716317509419576951766901855524808\
            507075157574866349355768268913180778950015221244344973252630564984344041810881
 233     5  7.467.1399.163877375237672870789806157730284778902135451688145768178589145021.27195040186288144699123113961\
            913509304267420886945460629342541780369032453825307506959996828889808735499430967
 234    19  13^2.37.73.97.157.313.541.2341.8893.21529.55117.1044927469.6291946695217.197743936282933.6429178169720749.5\
            8066129333227697089409.100538099146309556037689398549.86183834497963981152971481762071491450363574521
 235     6  7.11.101.534577564460822791430647883899825591.15030104175623018357289123321690093206664773346039681810841.1\
            1742458187793974855640018936541736640442590430556594812953582609269353970465133859071
 236     4  1297.4992035366913467897.21948439513969181164578188512458069689.3097945781054082772803595781656106991766210\
            9483214070220818332811047618072336488226622746482583129117017202322094927924659457
 237     9  7.31.317.5531.2832941.99687312908749681.8592319153827988586815914947213.47093998376912230366243110271664383.
            607533600613067103628013716774869114353725975836629895404043521402494339932482644927777
 238    10  37.421.2857.934117.5030761.8289713345361373993.23683448262457324289601073.1223399441578981329719781061.7340\
            907147976143090067393104626029.429799704619101139585617845574646735474836311730215233480909
 239     7  7.146715409.4577909312531.11996736557726158297.55580337982189268741.3253071351150192878011946957.9324595333\
            1205054384774999291610949881048400209351649052482914584911236373385176595470835618486341
 240    11  193.353.1697.8641.9601.4709377.688490113.6931400449.2810800069601.2347110840158563816028186318246561.401199\
            1914549052612504468176545582602593325358679543743598487176006154163508637330993511724990136321
 241     5  7.1447.112580893750715877136155593604993493690347963315703776847.333831660223844323127131130894040876670322\
            240703311304485275421.89927507622582082743457252150807044682985219320307061223778139659
 242     8  37.1453.58477.70489.863017.1699886791329510277176681109.545344608882915450471149857445719451451381455375942\
            8356613.115855977720923474728124425902764766095100950077810544032036539819246212617049972701
 243    14  7.31.487.1783.46441.114967.939439.1254367.3816559.149862151.883383463.12685746961.3920344350409644507093715\
            799617.41370652476323273464823968533821970903014491361357576901389306129096247593992908867635321130649
 244     5  1297.5857.412849.45348699038754859014549156612995761658952618079003220954072833694399350313.519916767670483\
            61452164456221135756675682843386264506904952477744256893676088734061199572334117114189689
 245    19  7^3.11.29.101.197.491.631.701.2311.9241.585131.762332681442053.90179616936384011.531714998599056253801.5771\
            8117561355946617161.2076531867755196744245501.1713959098477118024974772459978633155422670142812772394381871
 246    12  13.37.97.7873.4046701.37448441257.174521133001.15918716269297453972620877.830075109975781698496495921.59589\
            415533456305173269384769.141358334611356937293327443617.246179376206361788466441901958293949537091001
 247     8  7.53.937.1787.37571.48713705333.238428819287279709454394780799468728063645576507.58919374051118570189685896\
            28604934768166636240111723433824279581298621388446760184197776027205106215901634533722780130213
 248     4  17.98801.2655332007287526596353.214872582250876620472320686210200078809590981950384317057898364576553234629\
            0827703706485209518047262630008340300832265591766546059855793459057485190997561979677065217
 249     8  7.31.710813.6547890917.18879747223.21608536062644851877771.54824363564629401758409941.254536281078383255501\
            2280606297240630856744458154661551206145382150651157995078304662215326327157590381711369846641657
 250     9  37.241.6781.343801.22243201.1748016735462726601.1834744914758653996868853565501.761206864776089258756727917\
            1698469451260170146501.30561290412759930965030320641487022533311517309681018193831157091120980906001
 251     4  7.27969811991472751.431914676388241037434814954856635940501826690937344259.24478133419572742326967110057141\
            235939227239895499175259189878944052066082474555393392135359585822068928591489439050938181139
 252    14  281.337.577.617.1297.2017.3313.1678321.81035189089.1176362433121.2478750186961.1425398717511217.19100900655\
            540830489319601.3936749613506153900993500753505419837042533441973787239933754480015306255446906271998841899\
            249
 253     7  7.51828151.113958101.990000731.2916281795549.442490447397887376506449530663800706637907696507.1410874832604\
            460825511048976150191776522436543569306108369404925821859716890807774890700050493872162483147846057
 254     8  37.140348646913.25974264373441.49515878278227889669.91963118572171789377372037.2353332942426287275707347328\
            81529.1516570873669019166779118275948915051773.2039671016819963696316563565186291201699351828063413857
 255    18  7.11.31.101.103.919.47431.190537.1950271.12690943.980146969.1383638161.99617785207.72085651321561.241317924\
            973591.740797672014674927371043791.850271719214350502835132764398471.35503035895050812875116001005692042253\
            1594797481
 256     3  18433.69615986569139423375849495295909549956813828853888948633601.12543394833966440754722769041637784973526\
            212981785219527107718730083926093441798701297899755037603721680403257087439525343663680530659329
 257     4  7.13569401715894806672855945455795340408308144107419.100013092725890544669630696532241946180071054595333636\
            462851779928224547.10166132167728689294525570992142853580313167124429482332367659996796061108016487
 258    10  13.37.97.1033.6501601.752393127973.2914764989376043020733.11510167124054813592781820845997449.1142328411423\
            17476141837249854931762969541281681393357.641304342495243947398214898659719410715510808848535046650870910661
 259    10  7^2.29.197.3923.334868353.1096762734443.2054788991719.42555528171653758816503341.98579186492333625954435224\
            253627022245898135356439300121947982999171079897777240769359569922211424043189484547446116554247104349582467
 260    13  41.521.1297.192193.380641.14090441.98735521.68754507401.2862931023015114481.32779195022307860881.8284434950\
            526240125727017.25984196582137484361518374801.5326352135600762750526992379495118785600922088568830766733106\
            048441
